ktp.draw_number,hcr.filename,hcr.row_number,ktp.priority,hcr.firstname_middlename,hcr.lastname,hcr.category,hcr.full_primary_affiliation,hcr.full_secondary_affiliation,hcr.researcher_id,hcr.unnamed_6,hcr.unnamed_7,hcr.unnamed_8,hcr.unnamed_9,hcr.familyname,hcr.orcid,hcr.institutional_profile,hcr.twitter,hcr.linkedin,hcr.first_name,hcr.last_name,hcr.primary_affiliation,hcr.secondary_affiliation,hcr.secondary_affiliations,hcr.firstname,hcr.primaryaffiliation,hcr.secondaryaffiliation
218,2020_HCR.xlsx,1233,4,,,Cross-Field,,,,,,,,,,,,,Javier,Aizpurua,"University of Basque Country, Spain",,"Consejo Superior de Investigaciones Cientificas (CSIC), Spain",,,
182,2016_HCR.xlsx,2748,5,John M,Manners,Plant & Animal Science,"CSIRO, Australia",,,,,,,,,,,,,,,,,,,
183,2020_HCR.xlsx,4235,5,,,Geosciences,,,,,,,,,,,,,Larry W.,Horowitz,"National Oceanic Atmospheric Admin (NOAA) - USA, United States",,"Princeton University, United States",,,
185,2020_HCR.xlsx,4133,5,,,Environment and Ecology,,,,,,,,,,,,,G. Philip,Robertson,"Michigan State University, United States",,,,,
187,2017_HCR.xlsx,312,5,Russel J,Reiter,Biology & Biochemistry,"Univ Texas Hlth Sci Ctr San Antonio, United States",,,,,,,,,,,,,,,,,,,
188,2019_HCR.xlsx,3511,5,,,Cross-Field,,,,,,,,,,,,,Nir,Yosef,"Massachusetts Institute of Technology (MIT), United States",,"University of California Berkeley, United States; Massachusetts General Hospital, United States; VA Boston Healthcare System, United States; Harvard University, United States",,,
190,2018_HCR.xlsx,4846,5,,,Neuroscience & Behavior,,,,,,,,,,,,,Anne M.,Fagan,"Washington Univ, United States",,,,,
191,2021_HCR.xlsx,5778,5,,,Physics,,,,,,,,,,,,,N. Phuan,Ong,"Princeton University, United States",,,,,
195,2015_HCR.xlsx,2016,5,George Q,,Molecular Biology & Genetics,"Boston Childrens Hosp, USA","Dana Farber Canc Inst, USA; Harvard Univ, USA; Harvard Stem Cell Inst, USA",F-6429-2012,,,,,Daley,,,,,,,,,,,,
197,2016_HCR.xlsx,701,5,Roy S,Herbst,Clinical Medicine,"Yale Univ, USA","Yale Univ, USA",,,,,,,,,,,,,,,,,,
198,2019_HCR.xlsx,1001,5,,,Clinical Medicine,,,,,,,,,,,,,Renu,Virmani,"CVPath Institute, United States",,,,,
201,2024_HCR.xlsx,1433,5,,,Cross-Field,,,,,,,,,,,,,Eugene B.,Chang,"University of Chicago, United States",,,,,
203,2022_HCR.xlsx,3319,5,,Poland,Cross-Field,,,,,,,,,,,,,,,,,,Jesse A.,"Kansas State University, United States",
204,2020_HCR.xlsx,1853,5,,,Cross-Field,,,,,,,,,,,,,Amar,Gajjar,"St Jude Children's Research Hospital, United States",,,,,
205,2018_HCR.xlsx,2720,5,,,Cross-Field,,,,,,,,,,,,,Joshua A.,Salomon,"Stanford Univ, United States",,,,,
206,2022_HCR.xlsx,7168,5,,Smith,Social Sciences,,,,,,,,,,,,,,,,,,Adrian,"University of Sussex, United Kingdom",
210,2018_HCR.xlsx,2437,5,,,Cross-Field,,,,,,,,,,,,,David A.,Mills,"Univ Calif Davis, United States",,,,,
216,2015_HCR.xlsx,1515,5,Drew T,,Geosciences,"Duke Univ, USA",,D-4636-2012,,,,,Shindell,,,,,,,,,,,,
219,2024_HCR.xlsx,1076,5,,,Computer Science,,,,,,,,,,,,,Peng,Shi,"University of Adelaide, Australia",,,,,
220,2016_HCR.xlsx,1272,5,Pedro JJ,Alvarez,Environment/Ecology,"Rice Univ, USA",,,,,,,,,,,,,,,,,,,
