ktp.draw_number,hcr.filename,hcr.row_number,ktp.priority,hcr.firstname_middlename,hcr.lastname,hcr.category,hcr.full_primary_affiliation,hcr.full_secondary_affiliation,hcr.researcher_id,hcr.unnamed_6,hcr.unnamed_7,hcr.unnamed_8,hcr.unnamed_9,hcr.familyname,hcr.orcid,hcr.institutional_profile,hcr.twitter,hcr.linkedin,hcr.first_name,hcr.last_name,hcr.primary_affiliation,hcr.secondary_affiliation,hcr.secondary_affiliations,hcr.firstname,hcr.primaryaffiliation,hcr.secondaryaffiliation
196,2019_HCR.xlsx,1218,1,,,Cross-Field,,,,,,,,,,,,,Jong-Beom,Baek,"Ulsan National Institute of Science & Technology, South Korea",,,,,
181,2024_HCR.xlsx,3191,2,,,Cross-Field,,,,,,,,,,,,,Jianxun,Qi,"Chinese Academy of Sciences, China Mainland",,,,,
192,2021_HCR.xlsx,4401,2,,,Environment and Ecology,,,,,,,,,,,,,Shuxiao,Wang,"Tsinghua University, China Mainland",,,,,
193,2019_HCR.xlsx,2365,2,,,Cross-Field,,,,,,,,,,,,,Zhijun,Li,"University of Science & Technology of China, China Mainland",,"South China Mainland University of Technology, China Mainland; Chinese Academy of Sciences, China Mainland",,,
211,2022_HCR.xlsx,4344,2,,Zhang,Cross-Field,,,,,,,,,,,,,,,,,,Dengsong,"Shanghai University, China Mainland",
207,2024_HCR.xlsx,5048,3,,,Immunology,,,,,,,,,,,,,Shimon,Sakaguchi,"Osaka University, Japan",,,,,
184,2022_HCR.xlsx,3116,4,,Neher,Cross-Field,,,,,,,,,,,,,,,,,,Dieter,"University of Potsdam, Germany",
186,2020_HCR.xlsx,1181,4,,,Computer Science,,,,,,,,,,,,,Tarik,Taleb,"Aalto University, Finland",,,,,
189,2018_HCR.xlsx,1102,4,,,Clinical Medicine,,,,,,,,,,,,,Christos,Sotiriou,"Univ Libre Brussels, Belgium",,,,,
194,2024_HCR.xlsx,4483,4,,,Engineering,,,,,,,,,,,,,Steven X.,Ding,"University of Duisburg Essen, Germany",,,,,
199,2024_HCR.xlsx,4614,4,,,Environment and Ecology,,,,,,,,,,,,,Gunnar,Gerdts,"Helmholtz Association, Germany","Alfred Wegener Institute, Germany",,,,
200,2019_HCR.xlsx,2631,4,,,Cross-Field,,,,,,,,,,,,,Graeme W.,Nicol,"Ecole Centrale de Lyon, France",,"Centre National de la Recherche Scientifique (CNRS), France",,,
202,2020_HCR.xlsx,4100,4,,,Environment and Ecology,,,,,,,,,,,,,Celia M.,Manaia,"Universidade Catolica Portuguesa, Portugal",,,,,
208,2018_HCR.xlsx,2580,4,,,Cross-Field,,,,,,,,,,,,,Emilio,Perucca,"Univ Pavia, Italy",,,,,
209,2023_HCR.xlsx,814,4,,Harbeck,Clinical Medicine,,,,,,,,,,,,,,,,,,Nadia,"University of Munich, Germany",
212,2023_HCR.xlsx,1426,4,,Bestebroer,Cross-Field,,,,,,,,,,,,,,,,,,Theo,"Erasmus University Rotterdam, Netherlands",
213,2020_HCR.xlsx,1373,4,,,Cross-Field,,,,,,,,,,,,,Reinette,Biggs,"Stockholm University, Sweden",,,,,
214,2022_HCR.xlsx,5539,4,,Cuppen,Molecular Biology and Genetics,,,,,,,,,,,,,,,,,,Edwin,"Hartwig Medical Foundation, Netherlands","Utrecht University Medical Center, Netherlands"
215,2018_HCR.xlsx,3100,4,,,Cross-Field,,,,,,,,,,,,,Patrick,Wincker,"Univ Paris Saclay, France","CEA, France",,,,
217,2015_HCR.xlsx,2538,4,Charles M,,Physics,"Niels Bohr Inst, Denmark",,M-4526-2014,,,,,Marcus,,,,,,,,,,,,
