ktp.draw_number,hcr.filename,hcr.row_number,ktp.priority,hcr.firstname_middlename,hcr.lastname,hcr.category,hcr.full_primary_affiliation,hcr.full_secondary_affiliation,hcr.researcher_id,hcr.unnamed_6,hcr.unnamed_7,hcr.unnamed_8,hcr.unnamed_9,hcr.familyname,hcr.orcid,hcr.institutional_profile,hcr.twitter,hcr.linkedin,hcr.first_name,hcr.last_name,hcr.primary_affiliation,hcr.secondary_affiliation,hcr.secondary_affiliations,hcr.firstname,hcr.primaryaffiliation,hcr.secondaryaffiliation
93,2023_HCR.xlsx,4569,1,,Bouri,Economics and Business,,,,,,,,,,,,,,,,,,Elie,"Lebanese American University, Lebanon",
78,2018_HCR.xlsx,395,2,,,Biology & Biochemistry,,,,,,,,,,,,,Jun,Wang,"Macau Univ Sci & Technol, Macau","iCarbonX, China Mainland",,,,
86,2022_HCR.xlsx,3352,2,,Qi,Cross-Field,,,,,,,,,,,,,,,,,,Wenhai,"Qufu Normal University, China Mainland",
90,2023_HCR.xlsx,4006,2,,Wang,Cross-Field,,,,,,,,,,,,,,,,,,Fei,"Fudan University, China Mainland",
92,2023_HCR.xlsx,2366,2,,Hu,Cross-Field,,,,,,,,,,,,,,,,,,Yong-Sheng,"Chinese Academy of Sciences, China Mainland",
94,2019_HCR.xlsx,3896,2,,,Engineering,,,,,,,,,,,,,Jian-Qiang,Wang,"Central South University, China Mainland",,,,,
70,2020_HCR.xlsx,2578,3,,,Cross-Field,,,,,,,,,,,,,Ziad A.,Memish,"King Saud Medical City (KSMC), Saudi Arabia",,"Alfaisal University, Saudi Arabia",,,
72,2017_HCR.xlsx,1699,3,Cezmi A,Akdis,Immunology,"Univ Zurich, Switzerland","Swiss Inst Allergy Asthma Res, Switzerland",,,,,,,,,,cezmi-akdis-05875667,,,,,,,,
75,2022_HCR.xlsx,2529,3,,Kaur,Cross-Field,,,,,,,,,,,,,,,,,,Puneet,"University of Bergen, Norway",
83,2016_HCR.xlsx,3248,3,David N,Spergel,Space Science,"Princeton Univ, USA","Kavli Inst Phys & Math Universe, Japan; Univ Tokyo, Japan",A-4410-2011,,,,,,,,,,,,,,,,,
85,2021_HCR.xlsx,5747,3,,,Physics,,,,,,,,,,,,,Akito,Kuramata,"Novel Crystal Technology Inc., Japan",,,,,
62,2022_HCR.xlsx,6007,4,,Hansson,Neuroscience and Behavior,,,,,,,,,,,,,,,,,,Oskar,"Lund University, Sweden","Skåne University Hospital, Sweden"
63,2019_HCR.xlsx,2653,4,,,Cross-Field,,,,,,,,,,,,,Patrik,Nosil,"Centre d'Ecologie Fonctionnelle et Evolutive CNRS, France",,,,,
71,2023_HCR.xlsx,1824,4,,Derrien,Cross-Field,,,,,,,,,,,,,,,,,,Muriel,"KU Leuven, Belgium","Universite Paris Saclay, France"
76,2020_HCR.xlsx,2944,4,,,Cross-Field,,,,,,,,,,,,,Johannes,Rousk,"Lund University, Sweden",,,,,
80,2022_HCR.xlsx,1535,4,,Boutron,Cross-Field,,,,,,,,,,,,,,,,,,Isabelle,"Université Paris Cité, France","Institut National de la Sante et de la Recherche Medicale (Inserm), France; INRAE, France"
82,2020_HCR.xlsx,644,4,,,Clinical Medicine,,,,,,,,,,,,,Michael,Bohm,"Universitatsklinikum des Saarlandes, Germany",,,,,
87,2015_HCR.xlsx,2588,4,Tom,,Plant & Animal Science,"Ghent Univ, Belgium","VIB, Belgium",,,,,,Beeckman,,,,,,,,,,,,
88,2018_HCR.xlsx,5494,4,,,Plant & Animal Science,,,,,,,,,,,,,Adriano,Nunes-Nesi,"Max Planck Soc, Germany",,,,,
89,2023_HCR.xlsx,163,4,,Cramer,Biology and Biochemistry,,,,,,,,,,,,,,,,,,Patrick,"Max Planck Society, Germany",
91,2020_HCR.xlsx,529,4,,,Chemistry,,,,,,,,,,,,,Constantinos C.,Stoumpos,"University of Crete, Greece",,,,,
98,2022_HCR.xlsx,2292,4,,Heneka,Cross-Field,,,,,,,,,,,,,,,,,,Michael T.,"University of Luxembourg, Luxembourg","University of Massachusetts Worcester, United States"
100,2016_HCR.xlsx,1999,4,Marion PG,Koopmans,Microbiology,"Erasmus Univ Rotterdam, Netherlands",,,,,,,,,,,,,,,,,,,
61,2024_HCR.xlsx,2265,5,,,Cross-Field,,,,,,,,,,,,,Xiulei,Ji,"Oregon State University, United States",,,,,
64,2024_HCR.xlsx,4949,5,,,Immunology,,,,,,,,,,,,,Richard A.,Flavell,"Howard Hughes Medical Institute, United States",,,,,
65,2019_HCR.xlsx,5291,5,,,Pharmacology and Toxicology,,,,,,,,,,,,,L. Y.,Jan,"University of California San Francisco, United States",,,,,
66,2019_HCR.xlsx,218,5,,,Biology and Biochemistry,,,,,,,,,,,,,David,Haussler,"University of California Santa Cruz, United States",,,,,
67,2024_HCR.xlsx,1251,5,,,Cross-Field,,,,,,,,,,,,,Daniel W.,Belsky,"Columbia University, United States",,,,,
