ktp.draw_number,hcr.filename,hcr.row_number,ktp.priority,hcr.firstname_middlename,hcr.lastname,hcr.category,hcr.full_primary_affiliation,hcr.full_secondary_affiliation,hcr.researcher_id,hcr.unnamed_6,hcr.unnamed_7,hcr.unnamed_8,hcr.unnamed_9,hcr.familyname,hcr.orcid,hcr.institutional_profile,hcr.twitter,hcr.linkedin,hcr.first_name,hcr.last_name,hcr.primary_affiliation,hcr.secondary_affiliation,hcr.secondary_affiliations,hcr.firstname,hcr.primaryaffiliation,hcr.secondaryaffiliation
68,2019_HCR.xlsx,2881,5,,,Cross-Field,,,,,,,,,,,,,Leslie L.,Robison,"St Jude Children's Research Hospital, United States",,,,,
69,2015_HCR.xlsx,1342,5,Jonathan B,,Environment/Ecology,"Harvard Univ, USA",,,,,,,Losos,,,,,,,,,,,,
73,2020_HCR.xlsx,2183,5,,,Cross-Field,,,,,,,,,,,,,Amy C.,Justice,"Yale University, United States",,"Veterans Health Administration (VHA), United States",,,
74,2016_HCR.xlsx,1412,5,Baoshan ,Xing,Environment/Ecology,"Univ Massachusetts, USA",,,,,,,,,,,,,,,,,,,
77,2019_HCR.xlsx,479,5,,,Chemistry,,,,,,,,,,,,,Zhiqun,Lin,"Georgia Institute of Technology, United States",,,,,
79,2021_HCR.xlsx,1853,5,,,Cross-Field,,,,,,,,,,,,,Christian,Frezza,"University of Cambridge, United Kingdom",,,,,
81,2024_HCR.xlsx,3326,5,,,Cross-Field,,,,,,,,,,,,,Steven M.,Rowe,"University of Alabama Birmingham, United States",,,,,
84,2023_HCR.xlsx,4031,5,,Wang,Cross-Field,,,,,,,,,,,,,,,,,,Lixin,"Indiana University-Purdue University Indianapolis, United States",
95,2024_HCR.xlsx,807,5,,,Clinical Medicine,,,,,,,,,,,,,Carol M.,Mangione,"University of California Los Angeles, United States",,,,,
96,2018_HCR.xlsx,4060,5,,,Immunology,,,,,,,,,,,,,Edward J.,Pearce,"Washington Univ, United States",,,,,
97,2018_HCR.xlsx,1150,5,,,Clinical Medicine,,,,,,,,,,,,,Jeffrey S.,Weber,"Univ S Florida, United States",,,,,
99,2021_HCR.xlsx,6165,5,,,Psychiatry and Psychology,,,,,,,,,,,,,Katie A.,McLaughlin,"Harvard University, United States",,,,,
