ktp.draw_number,hcr.filename,hcr.row_number,ktp.priority,hcr.firstname_middlename,hcr.lastname,hcr.category,hcr.full_primary_affiliation,hcr.full_secondary_affiliation,hcr.researcher_id,hcr.unnamed_6,hcr.unnamed_7,hcr.unnamed_8,hcr.unnamed_9,hcr.familyname,hcr.orcid,hcr.institutional_profile,hcr.twitter,hcr.linkedin,hcr.first_name,hcr.last_name,hcr.primary_affiliation,hcr.secondary_affiliation,hcr.secondary_affiliations,hcr.firstname,hcr.primaryaffiliation,hcr.secondaryaffiliation
270,2018_HCR.xlsx,4443,5,,,Microbiology,,,,,,,,,,,,,Robert E. W.,Hancock,"Univ British Columbia, Canada",,,,,
271,2014_HCR.xlsx,1362,5,Jeremy B C,Jackson,Environment/Ecology,"University of California, San Diego, USA",,,,,,,,,,,,,,,,,,,
274,2019_HCR.xlsx,5727,5,,,Plant and Animal Science,,,,,,,,,,,,,Brett M.,Tyler,"Oregon State University, United States",,,,,
275,2020_HCR.xlsx,3338,5,,,Cross-Field,,,,,,,,,,,,,Peter J.,Walter,"University of California San Francisco, United States",,,,,
279,2015_HCR.xlsx,1723,5,Charles M,,Materials Science,"Harvard Univ, USA",,,,,,,Lieber,,,,,,,,,,,,
281,2020_HCR.xlsx,3598,5,,,Cross-Field,,,,,,,,,,,,,Ahmet,Zehir,"Memorial Sloan Kettering Cancer Center, United States",,,,,
282,2022_HCR.xlsx,1613,5,,Carhart-Harris,Cross-Field,,,,,,,,,,,,,,,,,,Robin L.,"Imperial College London, United Kingdom",
284,2020_HCR.xlsx,884,5,,,Clinical Medicine,,,,,,,,,,,,,Robert J.,Motzer,"Memorial Sloan Kettering Cancer Center, United States",,,,,
285,2024_HCR.xlsx,3178,5,,,Cross-Field,,,,,,,,,,,,,Bernard,Prendergast,"Guy's & St Thomas' NHS Foundation Trust, United Kingdom",,,,,
289,2020_HCR.xlsx,2812,5,,,Cross-Field,,,,,,,,,,,,,Jonatan,Pinkse,"University of Manchester, United Kingdom",,,,,
291,2018_HCR.xlsx,2786,5,,,Cross-Field,,,,,,,,,,,,,Ben C.,Sheldon,"Univ Oxford, United Kingdom",,,,,
293,2019_HCR.xlsx,561,5,,,Chemistry,,,,,,,,,,,,,Younan,Xia,"Georgia Institute of Technology, United States",,,,,
294,2021_HCR.xlsx,690,5,,,Clinical Medicine,,,,,,,,,,,,,Charles S.,Fuchs,"Harvard University, United States",,,,,
295,2020_HCR.xlsx,5627,5,,,Physics,,,,,,,,,,,,,Darrell G.,Schlom,"Cornell University, United States",,,,,
297,2020_HCR.xlsx,749,5,,,Clinical Medicine,,,,,,,,,,,,,Philippe,Genereux,"Cardiovascular Research Foundation (CRF), United States",,,,,
298,2018_HCR.xlsx,3835,5,,,Geosciences,,,,,,,,,,,,,Marika M.,Holland,"NCAR (Natl Ctr Atmospheric Res), United States",,,,,
300,2019_HCR.xlsx,2476,5,,,Cross-Field,,,,,,,,,,,,,Lane W.,Martin,"University of California Berkeley, United States",,"Lawrence Berkeley National Laboratory, United States",,,
