ktp.draw_number,hcr.filename,hcr.row_number,ktp.priority,hcr.firstname_middlename,hcr.lastname,hcr.category,hcr.full_primary_affiliation,hcr.full_secondary_affiliation,hcr.researcher_id,hcr.unnamed_6,hcr.unnamed_7,hcr.unnamed_8,hcr.unnamed_9,hcr.familyname,hcr.orcid,hcr.institutional_profile,hcr.twitter,hcr.linkedin,hcr.first_name,hcr.last_name,hcr.primary_affiliation,hcr.secondary_affiliation,hcr.secondary_affiliations,hcr.firstname,hcr.primaryaffiliation,hcr.secondaryaffiliation
266,2020_HCR.xlsx,1234,1,,,Cross-Field,,,,,,,,,,,,,Omid,Akhavan,"Sharif University of Technology, Iran",,,,,
267,2019_HCR.xlsx,1473,2,,,Cross-Field,,,,,,,,,,,,,Qian,Chen,"Suzhou University, China Mainland",,,,,
276,2020_HCR.xlsx,2431,2,,,Cross-Field,,,,,,,,,,,,,Mingxian,Liu,"Tongji University, China Mainland",,,,,
280,2018_HCR.xlsx,3315,2,,,Economics & Business,,,,,,,,,,,,,Jiing-Lih,Farh,"China Europe Int Business Sch, China Mainland",,,,,
288,2021_HCR.xlsx,526,2,,,Chemistry,,,,,,,,,,,,,Yuen,Wu,"University of Science & Technology of China CAS, China Mainland",,,,,
292,2024_HCR.xlsx,4129,2,,,Cross-Field,,,,,,,,,,,,,Yongqing,Yang,"China Agricultural University, China Mainland",,,,,
296,2023_HCR.xlsx,5051,2,,Sun,Geosciences,,,,,,,,,,,,,,,,,,Yele,"Chinese Academy of Sciences, China Mainland","University of Chinese Academy of Sciences CAS, China Mainland"
299,2014_HCR.xlsx,1291,2,Min,Wu,Engineering,"Central South University, China",,,,,,,,,,,,,,,,,,,
261,2017_HCR.xlsx,573,3,Jun-Ho ,Yum,Chemistry,"Swiss Fed Inst Technol Lausanne, Switzerland",,,,,,,,,,,,,,,,,,,
273,2024_HCR.xlsx,4415,3,,,Cross-Field,,,,,,,,,,,,,Niklaus E.,Zimmermann,"Swiss Federal Institute for Forest, Snow & Landscape Research, Switzerland","ETH Zurich, Switzerland",,,,
283,2020_HCR.xlsx,3840,3,,,Engineering,,,,,,,,,,,,,Bassim H.,Hameed,"Qatar University, Qatar",,,,,
263,2024_HCR.xlsx,2420,4,,,Cross-Field,,,,,,,,,,,,,George A.,Kowalchuk,"Utrecht University, Netherlands",,,,,
269,2021_HCR.xlsx,3429,4,,,Cross-Field,,,,,,,,,,,,,Valentina,Tremaroli,"University of Gothenburg, Sweden",,,,,
272,2016_HCR.xlsx,2700,4,Victor ,Flors,Plant & Animal Science,"Univ Jaume I, Spain",,,,,,,,,,,,,,,,,,,
277,2023_HCR.xlsx,1051,4,,Soerjomataram,Clinical Medicine,,,,,,,,,,,,,,,,,,Isabelle,"International Agency for Research on Cancer (IARC), France",
278,2015_HCR.xlsx,662,4,Thierry,,Clinical Medicine,"CHRU Lille, France",,M-9736-2014,,,,,Facon,,,,,,,,,,,,
286,2017_HCR.xlsx,2,4,Paul,Allen,Agricultural Sciences,"Teagasc, Ireland",,,,,,,,,,,,,,,,,,,
287,2021_HCR.xlsx,2285,4,,,Cross-Field,,,,,,,,,,,,,Oliver,Kepp,"Universite Paris Saclay, France",,"Institut National de la Sante et de la Recherche Medicale (Inserm), France",,,
290,2023_HCR.xlsx,2535,4,,Kattge,Cross-Field,,,,,,,,,,,,,,,,,,Jens,"Max Planck Institute for Biogeochemistry, Germany","German Centre for Integrative Biodiversity Research (iDiv), Germany"
262,2018_HCR.xlsx,4756,5,,,Molecular Biology & Genetics,,,,,,,,,,,,,John A.,Stamatoyannopoulos,"Univ Washington, United States",,,,,
264,2024_HCR.xlsx,6272,5,,,Plant and Animal Science,,,,,,,,,,,,,Rupesh,Deshmukh,"Laval University, Canada",,,,,
265,2021_HCR.xlsx,2842,5,,,Cross-Field,,,,,,,,,,,,,Shyue Ping,Ong,"University of California San Diego, United States",,,,,
268,2021_HCR.xlsx,4714,5,,,Immunology,,,,,,,,,,,,,Jedd,Wolchok,"Memorial Sloan Kettering Cancer Center, United States",,,,,
