ktp.draw_number,hcr.filename,hcr.row_number,ktp.priority,hcr.firstname_middlename,hcr.lastname,hcr.category,hcr.full_primary_affiliation,hcr.full_secondary_affiliation,hcr.researcher_id,hcr.unnamed_6,hcr.unnamed_7,hcr.unnamed_8,hcr.unnamed_9,hcr.familyname,hcr.orcid,hcr.institutional_profile,hcr.twitter,hcr.linkedin,hcr.first_name,hcr.last_name,hcr.primary_affiliation,hcr.secondary_affiliation,hcr.secondary_affiliations,hcr.firstname,hcr.primaryaffiliation,hcr.secondaryaffiliation
258,2017_HCR.xlsx,847,1,Seung-Jung,Park,Clinical Medicine,"Univ Ulsan, South Korea",,,,,,,,,,,,,,,,,,,
224,2022_HCR.xlsx,4626,2,,Cheng,Environment and Ecology,,,,,,,,,,,,,,,,,,Hui-Ming,"Chinese Academy of Sciences, China Mainland",
226,2023_HCR.xlsx,2598,2,,Kok,Cross-Field,,,,,,,,,,,,,,,,,,Kin-Hang,"University of Hong Kong, Hong Kong",
234,2020_HCR.xlsx,3962,2,,,Engineering,,,,,,,,,,,,,Jiaguo,Yu,"Wuhan University of Technology, China Mainland",,"King Abdulaziz University, Saudi Arabia",,,
252,2017_HCR.xlsx,1625,2,Xiaohong ,Liu,Geosciences,"Univ Wyoming, United States","Chinese Acad Sci, China",,,,,,,,,,,,,,,,,,
260,2023_HCR.xlsx,1693,2,,Cho,Cross-Field,,,,,,,,,,,,,,,,,,William C.,"Queen Elizabeth Hospital, Hong Kong",
227,2021_HCR.xlsx,2732,3,,,Cross-Field,,,,,,,,,,,,,Daniel,Moran,"Norwegian University of Science & Technology (NTNU), Norway",,"University of Sydney, Australia",,,
235,2022_HCR.xlsx,4497,3,,Zimmermann,Cross-Field,,,,,,,,,,,,,,,,,,Michael Bruce,"ETH Zurich, Switzerland","University of Oxford, United Kingdom"
243,2022_HCR.xlsx,344,3,,Sato,Biology and Biochemistry,,,,,,,,,,,,,,,,,,Yoko,"Fujitsu Ltd, Japan",
245,2015_HCR.xlsx,1825,3,Tasawar,,Mathematics,"King Abdulaziz Univ, Saudi Arabia","Quaid i Azam Univ, Pakistan",A-3853-2013,,,,,Hayat,,,,,,,,,,,,
248,2023_HCR.xlsx,1299,3,,Anthopoulos,Cross-Field,,,,,,,,,,,,,,,,,,Thomas,"King Abdullah University of Science & Technology, Saudi Arabia","Imperial College London, United Kingdom"
259,2021_HCR.xlsx,3234,3,,,Cross-Field,,,,,,,,,,,,,Yehuda,Shoenfeld,"Tel Aviv University, Israel",,,,,
222,2022_HCR.xlsx,3577,4,,Schwenk,Cross-Field,,,,,,,,,,,,,,,,,,Achim,"Technical University of Darmstadt, Germany","Max Planck Society, Germany"
229,2017_HCR.xlsx,942,4,Giuseppe ,Viale,Clinical Medicine,"European Inst Oncol, Italy",,,,,,,,,,,,,,,,,,,
230,2020_HCR.xlsx,2199,4,,,Cross-Field,,,,,,,,,,,,,Freek,Kapteijn,"Delft University of Technology, Netherlands",,,,,
233,2022_HCR.xlsx,6828,4,,Smallwood,Psychiatry and Psychology,,,,,,,,,,,,,,,,,,Jonathan,"Max Planck Society, Germany",
250,2017_HCR.xlsx,1102,4,Athanasios,Vasilakos,Computer Science,"Univ Western Macedonia, Greece",,,,,,,,,,,,,,,,,,,
254,2022_HCR.xlsx,985,4,,Nordestgaard,Clinical Medicine,,,,,,,,,,,,,,,,,,Borge Gronne,"University Copenhagen Hospital, Denmark","University of Copenhagen, Denmark"
257,2015_HCR.xlsx,2956,4,Baerbel-Maria,,"Social Sciences, general","Robert Koch Inst, Germany",,,,,,,Kurth,,,,,,,,,,,,
221,2020_HCR.xlsx,1755,5,,,Cross-Field,,,,,,,,,,,,,Kerry A.,Emanuel,"Massachusetts Institute of Technology (MIT), United States",,,,,
223,2017_HCR.xlsx,2469,5,Heidi,Johansen-Berg,Neuroscience & Behavior,"Univ Oxford, United Kingdom",,,,,,,,,,,,,,,,,,,
225,2018_HCR.xlsx,5111,5,,,Pharmacology & Toxicology,,,,,,,,,,,,,Dale W.,Porter,"Natl Inst Occupational Safety Hlth, United States",,,,,
228,2021_HCR.xlsx,804,5,,,Clinical Medicine,,,,,,,,,,,,,Michael J.,Mack,"Baylor Scott & White Health, United States",,,,,
231,2023_HCR.xlsx,5459,5,,Wang,Materials Science,,,,,,,,,,,,,,,,,,Hao,"University of Southern Queensland, Australia",
232,2014_HCR.xlsx,1166,5,Sandun,Fernando,Engineering,"Texas A&M University - College Station, USA",,,,,,,,,,,,,,,,,,,
236,2022_HCR.xlsx,1146,5,,Yancopoulos,Clinical Medicine,,,,,,,,,,,,,,,,,,George D.,"Regeneron, United States",
237,2020_HCR.xlsx,342,5,,,Biology and Biochemistry,,,,,,,,,,,,,Cathy H.,Wu,"University of Delaware, United States",,"Georgetown University, United States",,,
238,2018_HCR.xlsx,5273,5,,,Physics,,,,,,,,,,,,,Wei,Lu,"Univ Michigan, United States",,,,,
239,2021_HCR.xlsx,5601,5,,,Pharmacology and Toxicology,,,,,,,,,,,,,Kinam,Park,"Purdue University, United States",,,,,
240,2016_HCR.xlsx,2027,5,Charles M,Rice,Microbiology,"Rockefeller Univ, USA",,K-6831-2013,,,,,,,,,,,,,,,,,
241,2021_HCR.xlsx,3023,5,,,Cross-Field,,,,,,,,,,,,,Anjana,Rao,"La Jolla Institute for Immunology, United States",,,,,
242,2015_HCR.xlsx,2436,5,John J,,Pharmacology & Toxicology,"USAF Research Lab, USA",,,,,,,Schlager,,,,,,,,,,,,
244,2021_HCR.xlsx,5687,5,,,Physics,,,,,,,,,,,,,Yulin,Chen,"University of Oxford, United Kingdom",,,,,
