ktp.draw_number,hcr.filename,hcr.row_number,ktp.priority,hcr.firstname_middlename,hcr.lastname,hcr.category,hcr.full_primary_affiliation,hcr.full_secondary_affiliation,hcr.researcher_id,hcr.unnamed_6,hcr.unnamed_7,hcr.unnamed_8,hcr.unnamed_9,hcr.familyname,hcr.orcid,hcr.institutional_profile,hcr.twitter,hcr.linkedin,hcr.first_name,hcr.last_name,hcr.primary_affiliation,hcr.secondary_affiliation,hcr.secondary_affiliations,hcr.firstname,hcr.primaryaffiliation,hcr.secondaryaffiliation
14,2022_HCR.xlsx,6984,1,,Cannon,Social Sciences,,,,,,,,,,,,,,,,,,Geoffrey,"Universidade de Sao Paulo, Brazil",
3,2022_HCR.xlsx,626,2,,Wang,Chemistry,,,,,,,,,,,,,,,,,,Ye,"Xiamen University, China Mainland",
13,2022_HCR.xlsx,5469,2,,Shi,Microbiology,,,,,,,,,,,,,,,,,,Zheng-Li,"Chinese Academy of Sciences, China Mainland",
16,2023_HCR.xlsx,1250,2,,Ahammed,Cross-Field,,,,,,,,,,,,,,,,,,Golam Jalal,"Henan University of Science & Technology, China Mainland",
19,2023_HCR.xlsx,4453,2,,Zhang,Cross-Field,,,,,,,,,,,,,,,,,,Yupeng,"Shenzhen University, China Mainland",
8,2022_HCR.xlsx,3179,3,,Ohno,Cross-Field,,,,,,,,,,,,,,,,,,Hideo,"Tohoku University, Japan",
11,2020_HCR.xlsx,5974,4,,,Psychiatry and Psychology,,,,,,,,,,,,,Lars Vedel,Kessing,"University of Copenhagen, Denmark",,"Region Hovedstadens Psykiatri, Denmark",,,
1,2015_HCR.xlsx,2112,5,Andrew P,,Molecular Biology & Genetics,"Univ Dundee, UK",,,,,,,Morris,,,,,,,,,,,,
2,2023_HCR.xlsx,528,5,,Marks,Chemistry,,,,,,,,,,,,,,,,,,Tobin J.,"Northwestern University, United States",
4,2020_HCR.xlsx,747,5,,,Clinical Medicine,,,,,,,,,,,,,Levi A.,Garraway,"Harvard University, United States",,"Broad Institute, United States; Massachusetts Institute of Technology (MIT), United States",,,
5,2020_HCR.xlsx,397,5,,,Chemistry,,,,,,,,,,,,,Sheng,Dai,"Oak Ridge National Laboratory, United States",,"University of Tennessee System, United States",,,
6,2023_HCR.xlsx,5578,5,,Garrett,Microbiology,,,,,,,,,,,,,,,,,,Wendy S.,"Harvard University, United States",
7,2015_HCR.xlsx,1914,5,Claire M,,Microbiology,"Univ Sys Maryland, USA",,O-9023-2014,,,,,Fraser,,,,,,,,,,,,
9,2017_HCR.xlsx,2415,5,Vince D,Calhoun,Neuroscience & Behavior,"Mind Res Network, United States","Univ New Mexico, United States",H-7146-2013,,,,,,,,,,,,,,,,,
10,2015_HCR.xlsx,2406,5,Samir,,Pharmacology & Toxicology,"Univ Calif Santa Barbara, USA",,,,,,,Mitragotri,,,,,,,,,,,,
12,2024_HCR.xlsx,5433,5,,,Microbiology,,,,,,,,,,,,,Donovan H.,Parks,"University of Queensland, Australia",,,,,
15,2022_HCR.xlsx,4379,5,,Zhang,Cross-Field,,,,,,,,,,,,,,,,,,Qiao,"University of California System, United States",
17,2020_HCR.xlsx,5183,5,,,Neuroscience and Behavior,,,,,,,,,,,,,Alan C.,Evans,"McGill University, Canada",,,,,
18,2016_HCR.xlsx,1304,5,Edward T,Furlong,Environment/Ecology,"US Geol Survey, USA",,C-3999-2011,,,,,,,,,,,,,,,,,
20,2020_HCR.xlsx,1434,5,,,Cross-Field,,,,,,,,,,,,,Katrina,Brown,"University of Exeter, United Kingdom",,,,,
