ktp.draw_number,hcr.filename,hcr.row_number,ktp.priority,hcr.firstname_middlename,hcr.lastname,hcr.category,hcr.full_primary_affiliation,hcr.full_secondary_affiliation,hcr.researcher_id,hcr.unnamed_6,hcr.unnamed_7,hcr.unnamed_8,hcr.unnamed_9,hcr.familyname,hcr.orcid,hcr.institutional_profile,hcr.twitter,hcr.linkedin,hcr.first_name,hcr.last_name,hcr.primary_affiliation,hcr.secondary_affiliation,hcr.secondary_affiliations,hcr.firstname,hcr.primaryaffiliation,hcr.secondaryaffiliation
23,2017_HCR.xlsx,1286,2,Shihua,Li,Engineering,"Southeast Univ, China",,,,,,,,0000-0001-9044-7137,,,,,,,,,,,
46,2024_HCR.xlsx,5139,2,,,Materials Science,,,,,,,,,,,,,Yongqiang,Guo,"Northwestern Polytechnical University, China Mainland",,,,,
48,2024_HCR.xlsx,511,2,,,Chemistry,,,,,,,,,,,,,Yu,Wang,"Chinese Academy of Sciences, China Mainland",,,,,
52,2017_HCR.xlsx,2008,2,Weihua,Deng,Mathematics,"Lanzhou Univ, China",,F-2553-2012,,,,,,0000-0002-8573-012X,,,,,,,,,,,
59,2022_HCR.xlsx,5924,2,,Zhi,Materials Science,,,,,,,,,,,,,,,,,,Chunyi,"City University of Hong Kong, Hong Kong",
33,2015_HCR.xlsx,2284,3,May-Britt,,Neuroscience & Behavior,"Norwegian Univ Sci & Technol NTNU, Norway",,,,,,,Moser,,,,,,,,,,,,
38,2023_HCR.xlsx,3730,3,,Sorek,Cross-Field,,,,,,,,,,,,,,,,,,Rotem,"Weizmann Institute of Science, Israel",
25,2023_HCR.xlsx,982,4,,Ponikowski,Clinical Medicine,,,,,,,,,,,,,,,,,,Piotr P.,"Wroclaw Medical University, Poland",
29,2021_HCR.xlsx,716,4,,,Clinical Medicine,,,,,,,,,,,,,John,Haanen,"Netherlands Cancer Institute, Netherlands",,,,,
31,2020_HCR.xlsx,1438,4,,,Cross-Field,,,,,,,,,,,,,Ronny,Bruffaerts,"KU Leuven, Belgium",,,,,
32,2018_HCR.xlsx,415,4,,,Chemistry,,,,,,,,,,,,,Lutz,Ackermann,"Univ Gottingen, Germany",,,,,
36,2015_HCR.xlsx,594,4,Carsten,,Clinical Medicine,"BMT & Pulmonol Univ Hosp, Germany",,,,,,,Bokemeyer,,,,,,,,,,,,
37,2023_HCR.xlsx,5559,4,,de Vos,Microbiology,,,,,,,,,,,,,,,,,,Willem M.,"University of Helsinki, Finland","Wageningen University & Research, Netherlands"
40,2021_HCR.xlsx,5861,4,,,Plant and Animal Science,,,,,,,,,,,,,Tom,Beeckman,"Ghent University, Belgium",,"VIB, Belgium",,,
42,2022_HCR.xlsx,6802,4,,Penninx,Psychiatry and Psychology,,,,,,,,,,,,,,,,,,Brenda W. J. H.,"Vrije Universiteit Amsterdam, Netherlands",
43,2022_HCR.xlsx,3367,4,,Quintin,Cross-Field,,,,,,,,,,,,,,,,,,Jessica,"Radboud University Nijmegen, Netherlands",
44,2019_HCR.xlsx,1930,4,,,Cross-Field,,,,,,,,,,,,,Giuseppe,Grosso,"University of Catania, Italy",,,,,
47,2020_HCR.xlsx,1153,4,,,Computer Science,,,,,,,,,,,,,Luis,Martinez,"Universidad de Jaen, Spain",,"Ulster University, United Kingdom",,,
21,2020_HCR.xlsx,4415,5,,,Immunology,,,,,,,,,,,,,Axel,Kallies,"Walter & Eliza Hall Institute, Australia",,,,,
22,2019_HCR.xlsx,2901,5,,,Cross-Field,,,,,,,,,,,,,Katya,Rubia,"Kings College London, United Kingdom",,"University of London, United Kingdom",,,
24,2024_HCR.xlsx,2518,5,,,Cross-Field,,,,,,,,,,,,,Vanessa,Leone,"University of Chicago, United States",,,,,
26,2021_HCR.xlsx,6589,5,,,Space Science,,,,,,,,,,,,,Jeremy L.,Tinker,"New York University, United States",,,,,
27,2019_HCR.xlsx,4788,5,,,Microbiology,,,,,,,,,,,,,Yongping,Yang,"National Institutes of Health (NIH) - USA, United States",,,,,
28,2023_HCR.xlsx,3440,5,,Reich,Cross-Field,,,,,,,,,,,,,,,,,,David,"Harvard University, United States",
30,2020_HCR.xlsx,1018,5,,,Clinical Medicine,,,,,,,,,,,,,Mark S.,Sulkowski,"Johns Hopkins University, United States",,,,,
34,2021_HCR.xlsx,1262,5,,,Cross-Field,,,,,,,,,,,,,Clive,Ballard,"University of Exeter, United Kingdom",,,,,
35,2024_HCR.xlsx,198,5,,,Biology and Biochemistry,,,,,,,,,,,,,Philip,Hugenholtz,"University of Queensland, Australia",,,,,
39,2018_HCR.xlsx,3369,5,,,Economics & Business,,,,,,,,,,,,,Peter K.,Schott,"Yale Univ, United States",,,,,
41,2017_HCR.xlsx,253,5,Jay D,Keasling,Biology & Biochemistry,"Joint BioEnergy Inst, United States","Univ Calif Berkeley, United States",J-9162-2012,,,,,,,,,,,,,,,,,
45,2015_HCR.xlsx,839,5,Paul G,,Clinical Medicine,"Dana Farber Canc Inst, USA",,,,,,,Richardson,,,,,,,,,,,,
49,2022_HCR.xlsx,2019,5,,Finkel,Cross-Field,,,,,,,,,,,,,,,,,,Toren,"University of Pittsburgh, United States",
50,2023_HCR.xlsx,792,5,,Furman,Clinical Medicine,,,,,,,,,,,,,,,,,,Richard R.,"Cornell University, United States",
51,2022_HCR.xlsx,6910,5,,Labbe,Space Science,,,,,,,,,,,,,,,,,,Ivo,"Swinburne University of Technology, Australia",
53,2019_HCR.xlsx,2490,5,,,Cross-Field,,,,,,,,,,,,,Michael A.,Matthay,"University of California San Francisco, United States",,"University of California System, United States",,,
54,2020_HCR.xlsx,2408,5,,,Cross-Field,,,,,,,,,,,,,Jeffrey A.,Lieberman,"Columbia University, United States",,"New York State Psychiatric Institute, United States",,,
55,2020_HCR.xlsx,4262,5,,,Geosciences,,,,,,,,,,,,,Keith W.,Oleson,"National Center Atmospheric Research (NCAR) - USA, United States",,,,,
56,2014_HCR.xlsx,2615,5,Ramamoorthy,Ramesh,Physics,"Oak Ridge National Laboratory, USA","University of California, Berkeley, USA",,,,,,,,,,,,,,,,,,
57,2021_HCR.xlsx,784,5,,,Clinical Medicine,,,,,,,,,,,,,James M. G.,Larkin,"Royal Marsden NHS Foundation Trust, United Kingdom",,,,,
58,2016_HCR.xlsx,2866,5,Adrian ,Angold,Psychiatry/Psychology,"Duke Univ, USA",,,,,,,,,,,,,,,,,,,
60,2022_HCR.xlsx,2325,5,,Ho-Baillie,Cross-Field,,,,,,,,,,,,,,,,,,Anita,"University of Sydney, Australia","University of New South Wales Sydney, Australia"
