name,openalex_id,openalex_id_short
Albert Einstein,https://openalex.org/A5103682982,A5103682982
Marie Curie,https://openalex.org/A5056503301,A5056503301
Isaac Newton,https://openalex.org/A5074465675,A5074465675
Magnus Carlsen,https://openalex.org/A5023384100,A5023384100
Ada Lovelace,https://openalex.org/A5112094776,A5112094776
J K Rowling,https://openalex.org/A5074787378,A5074787378
Stephen Hawking,https://openalex.org/A5066175077,A5066175077
